id,label,filename,hash,normalized_hash,characters,words,sentences,created_at
ai_3,ai,data\raw\ai\3.txt,405146d111aaa8865a70b22c4693be12ce53e1ffac67a3a1906766f15245b1d2,d9080cd4efd750e88ee101949f5c78340c4093b3eeab6a1011b287c7988d8691,451,75,9,2026-09-20T18:34:32.414076+00:00
ai_4,ai,data\raw\ai\4.txt,df5f0509dd2a82a4b1190e5ccf0e5fa5e9e9eb09bb9745eaaf5810aacd52aa27,0d005ccd63745fe34e5f5c0b1c9c5b0e35b18d4dce2cd6c12dd5ae0e7c71ba93,444,72,11,2026-09-20T18:34:32.414628+00:00
ai_5,ai,data\raw\ai\5.txt,8e67b3f4905aa84aac0b6f41c3ab70ece2c8fac0e2958344aa681c5b7c3898c1,64ea64e0f6df0ae29b7d9a87e4390169ec39ac30a758086397889d960452f8ed,452,64,11,2026-09-20T18:34:32.415146+00:00
ai_6,ai,data\raw\ai\6.txt,05ef747eda0aad83ad8e08b4cbc8c4bb62fe2a83a693712a5e4775bfaf495994,785148c4bcf9918a3d9daf22e0824581dcfed859aaa5485446024b3640104f4a,439,69,8,2026-09-20T18:34:32.415146+00:00
ai_7,ai,data\raw\ai\7.txt,d2b6235b7e238bb257740eb4da29f3a6652fa14456dc39d53e59da0387ed82ae,066ebcd4ad50ca8471dcbb97fa1068a41e0c00dcba922ca163383265e38dc628,434,68,9,2026-09-20T18:34:32.415709+00:00
ai_8,ai,data\raw\ai\8.txt,d4c8fc485b5e6638ec75242aa89aeb306e462929c654026e0c96b10c54efe0e6,b75b73021ed9ce84472c83a8bd75bbaacdfd996a8b5334eff6484be5751e231a,441,71,10,2026-09-20T18:34:32.415709+00:00
ai_9,ai,data\raw\ai\9.txt,6aa3ecdfc2942feedbda3c307e50840d97a30c1b8ad3b2782e6f07b60afcda72,bd373f969a685e71c2c80d2a9451f44bbf0b3f6fe46420ad580eb22f1399976f,474,83,9,2026-09-20T18:34:32.416253+00:00
human_1,human,data\raw\human\1.txt,216aeb7ba01780ffb585fb94aa2a88b58c7fcd8fb5cb39af87600cb3d1fb458c,e96b05191a26c9dac735322a75bc23ec77eae0f350ea49837ab384f5fb63cc79,106,19,2,2026-09-20T18:34:32.416253+00:00
human_11,human,data\raw\human\11.txt,423c5c81f88fc8bb1c33829547a29bde87a61ef8c5862d50a27c87b2d2739a6e,f0cdc5f893027c49d9709161eac6ae658b952dd535b5edffc0bb126599118890,434,54,4,2026-09-20T18:34:32.416253+00:00
human_12,human,data\raw\human\12.txt,6818bb710c8f8e85e8aa9ce22a3287ab583644646afd57a164c8f8f2a11f03b0,eb5bf8d57b30aa2172ed9fc6784f1d0cafb994e22bd6c16845ec3e2d250f6fb2,228,35,3,2026-09-20T18:34:32.416253+00:00
human_13,human,data\raw\human\13.txt,09c6bb87fd5b905fdbed3a481c06c7f9162b9b34d87f6328351a2728785f8f27,a10c30a9015da206320c6508a3d1c9e22dcc55c84ea8d5753414007df83a4e49,340,47,4,2026-09-20T18:34:32.416253+00:00
human_14,human,data\raw\human\14.txt,2763995566886bc8ccb31152b6c43be250659ecb11f04b4e05093e1d8fd80577,b9007022bbb87add13fca279074168d72b6d7b4d2bf4c18868d392f8b2e84516,239,33,2,2026-09-20T18:34:32.416253+00:00
human_15,human,data\raw\human\15.txt,03f510630d81cc1a9fab5c120f5961c2f3e06bbe0977743abdc6b51d1706fea4,3a3d7e75b311c731a11a982079811ab878a5cf2fef4fd0b7ef6a1c9cdb92c7e0,158,23,4,2026-09-20T18:34:32.416253+00:00
human_16,human,data\raw\human\16.txt,65137bd10032fe393e70ed3d8b3c4c0717bdc71ac5bfe2b107939228642d6087,b770fc2ccc855c21dd02cd61998a7253cc1781c14c37976366468691efd3a879,215,34,6,2026-09-20T18:34:32.416253+00:00
human_17,human,data\raw\human\17.txt,2054a6c3f6f682511cce6426441e6f999ab6447716d5b4a68bfaa602d06ab561,eb5bf8d57b30aa2172ed9fc6784f1d0cafb994e22bd6c16845ec3e2d250f6fb2,226,35,3,2026-09-20T18:34:32.416253+00:00
human_18,human,data\raw\human\18.txt,c690c51c5817544977e68d79e7062f88444cb352f4bf563377beb34c4cf21431,6cf62296813a74898ca8d9040508f54aa18891744f2646fcdde534e5f239f1c0,159,26,3,2026-09-20T18:34:32.416253+00:00
human_19,human,data\raw\human\19.txt,6818bb710c8f8e85e8aa9ce22a3287ab583644646afd57a164c8f8f2a11f03b0,eb5bf8d57b30aa2172ed9fc6784f1d0cafb994e22bd6c16845ec3e2d250f6fb2,228,35,3,2026-09-20T18:34:32.416253+00:00
human_2,human,data\raw\human\2.txt,8250a90494b36647dde0cdccdfda40cbd3c237fdfa5776eb6ca246a6f6c180b3,a5adff18cbbabe4c12f0c7f24925827787ab55a89b4e39bf38618a75f6565be0,66,10,1,2026-09-20T18:34:32.416253+00:00
human_20,human,data\raw\human\20.txt,03f510630d81cc1a9fab5c120f5961c2f3e06bbe0977743abdc6b51d1706fea4,3a3d7e75b311c731a11a982079811ab878a5cf2fef4fd0b7ef6a1c9cdb92c7e0,158,23,4,2026-09-20T18:34:32.416253+00:00
human_3,human,data\raw\human\3.txt,3e6dcca58112fa9557033206dbfe13d0f21acdaa8111061726f9950ba46e9e6f,57eedd1b4e9771b60ae397e9b8a0c09fa1b0454ae9923944655d1e0686033c83,73,13,1,2026-09-20T18:34:32.416253+00:00
human_4,human,data\raw\human\4.txt,8b476ed8bf0524e4526300fe57c7d86a75a3e14a7ffe4c59a9169d6c322062d5,5e3ae9ab37ef642a31b4829821ad6a7d3c52063f8efb005255ecb3451ac8a9f3,80,15,3,2026-09-20T18:34:32.416253+00:00
human_5,human,data\raw\human\5.txt,5ba68421167d60e1741d5144ae2a9eeb63c018f05f3023bf8c43ee03bb097c26,841e50afc56ceb2dde4f020158a2fa8faf188530882ef703d0ff7f1cf41fb5bc,71,8,2,2026-09-20T18:34:32.416253+00:00
human_6,human,data\raw\human\6.txt,fecdff81069cf26500753282fde76ef5412084e99cadc45054e2081350c723e5,2599227e682eb2efd513c9e1e9ffc7d06e0777cd250790d412198ffcc4db6295,259,44,3,2026-09-20T18:34:32.416253+00:00
human_7,human,data\raw\human\7.txt,4de528f8413dfbb4d4ddfb43da98a9ea30f4d0eece767fffb125bbbd09e721c7,2b9eded1c9c986ea6ea9eb7231f5a6868313eb7a235ca0eb5d6373446995a6b9,497,73,6,2026-09-20T18:34:32.416253+00:00
human_8,human,data\raw\human\8.txt,f7bf71571849ce8a2c304d16928bce7a7c7d5445592ba4bcb171225c23f966ac,b71e0fde42196dba8c9d8a62a7c44a8c1b05ca6c005fefd43842aadddf0cf4b3,314,44,3,2026-09-20T18:34:32.416253+00:00
human_9,human,data\raw\human\9.txt,f4be1d43aaa532be60799337e5eecea9ac3e138813f8a939ce12503451080806,8de9d6befb92f7f6836c65f56c261f5d2e3b6ee5fdd6d97e7bf40cea49bdf1a6,111,18,2,2026-09-20T18:34:32.416253+00:00
